,What Programming Language did you use?,What Game Engine (if any) did you use?,"What Programming Library/Framework did you use, if any?",What image editor did you use?,What sound effect generator/editor did you use?,What's your username/handle?,What's the name of your game?,What's the URL for your entry on the Ludum Dare site?,Did you finish?,What music composition software did you use?,What map/level editor did you use?,What timelapse capture tool did you use?,What OS did you develop on?,What modeling tool did you use?,Timelapse URL,Post-Mortem URL,Valid
4/26/2012 22:22:26,AS3,Custom,PlayerIO,Photoshop,SFXR,PROWNE,World of Destruction,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8533,,Sonar X1 Producer,Custom (Home-made),Chronolapse,Windows,,http://www.youtube.com/watch?v=BCBw2W3T6zw,http://www.ludumdare.com/compo/2012/04/23/world-of-destruction-phew-done/,
4/27/2012 1:04:13,AS3,,Flixel,Gimp,,cltatman,Intersection,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12674,,FL Studio,,,Windows,,,http://www.ludumdare.com/compo/2012/04/22/surrendering-before-times-up/,
4/27/2012 1:27:40,AS3,,Flashpunk,Gimp,"SFXR, Audacity",jason.bakker,Gum Crisis in Pipe City,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10930,,,Ogmo Editor,,Windows,,,,
4/27/2012 6:57:19,AS3,,FlashPunk,GraphicsGale,"BFXR, Wavosaur",trq,Download Incomplete,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12029,,LMMS,Ogmo Editor,Chronolapse,Windows,,,,
4/27/2012 8:09:06,AS3,,Flashpunk,Gimp,SFXR,jvanbaarsen,Platform,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10446,,,Gimp,Terminal,Mac,,,,
4/27/2012 9:40:50,AS3,FlashPunk,FlashPunk,GIMP,Audacity,Draknek,Dr. Biology's Educational Game,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=741,,,Custom,,Linux,,,,
4/27/2012 11:39:10,AS3,,Flixel,"Paint.net,Photoshop","AS3SFXR,Roc",robbiehunt,Flea Circus,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10796,,Myna,,,Windows,,,http://www.ludumdare.com/compo/2012/04/27/flea-circus-post-mortem/,
5/1/2012 9:39:46,AS3,,Flashpunk,Photoshop,FL Studio,Benn,Colours In The Void,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1865,,FL Studio,hard coded,,Windows,,,,
5/1/2012 13:03:23,AS3,Flash,,Paint,SFXR,MaximSchoemaker,Soul Searchin',http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11306,,Reason,,,Windows,,,,
4/26/2012 11:46:23,AS3 - using FlashDevelop IDE,Custom,Stage3D,Photoshop,BFXR,McFunkypants,Dr. Nano - tiny surgeon,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=2297,,CoolEditPro,OGMO,,Windows,,,,
4/25/2012 18:12:06,AutoIt,VCore (custom),Bass,Paint.net,SFXR,Vertebro,Celluloid2D,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7294,,FL Studio,,,Windows,,,http://www.ludumdare.com/compo/2012/04/25/first-ld-celluloid-as-my-game/,
4/26/2012 10:15:08,Basic/Blitzmax,,,"Paint Tool Sai, Graphics Gale",sfxr,Tifu,Tiny Galaxy,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7793,,Pxtone,,Chronolapse,Windows,,http://www.youtube.com/watch?v=CFOcXiz-AWc,,
4/26/2012 20:17:16,BlitzMax,Custom,,Photoshop,"SFXR, Audacity, drum circle",murilo,TinyBot,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6882,,,my own,,Windows,,,http://www.ludumdare.com/compo/2012/04/25/140255/,
4/30/2012 8:29:59,"C, Ruby, PHP",,SDL,"GIMP, Paint.net, Photoshop","BFXR, Audacity",nickc,Supercell,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10844,,Autotracker-C,Custom,Chronolapse,"Windows, Mac",,http://www.youtube.com/watch?v=5N86yBPrgn0,,
4/24/2012 12:10:41,C#,Unity,,Sketchup,,Attrition,Earth Is Dying!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1520,,,Unity,,Windows,,,,
4/24/2012 12:43:03,C#,Unity,,"Paint.net, inkscape",SFXR,stromchin,Tiny BasketWorld,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12316,,,Unity,,Windows,,,,
4/24/2012 13:47:52,C#,Unity,,Photoshop,"CFXR, Audacity",karnakgames,"Ant, Bee, Cow, Pig and Spider BOSS",http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2465,,,Unity,Command Line,Mac,,,,
4/24/2012 14:42:59,C#,,XNA,Gimp,,AleksandarDev,Tiny Island,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5974,,,,Chronolapse,Windows,,,,
4/24/2012 16:05:43,C#,,XNA,Paint.NET,"BFXR, Audacity",Frib,A Load of Bulls...,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3939,,,,alt + Print screen + paint,Windows,,,,
4/25/2012 7:23:23,C#,Unity,,Paint.NET,BFXR,Deozaan,"Be Tiny, World!",http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3156,,,Unity,Chronolapse,Windows,,http://www.youtube.com/watch?v=HN6ffgLc-ic,http://www.ludumdare.com/compo/2012/04/23/be-tiny-world/,
4/25/2012 8:25:26,c#,XNA,x-flixel,"photoshop, paint.net",SFXR,roundcrisis,Spaceways,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11692,,Reason,,chronolapse,Windows,,http://www.youtube.com/watch?v=6blHok9t1JI&context=C40bb02dADvjVQa1PpcFPz5MBwTJ3cDQpm4iy84x0HJ6atZiA0Ngs=,http://www.ludumdare.com/compo/?category_name=ld-23&author_name=roundcrisis,
4/25/2012 8:32:56,c#,,XNA,Photoshop,,gavin5564,Globe,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5689,,FLStudio,Custom,"Custom, Virtuldub",Windows,,http://www.youtube.com/watch?v=tcKQ8OU3p7E,http://www.ludumdare.com/compo/?p=129796,
4/25/2012 9:49:12,C#,,,Paint.NET,Audacity,zorf,Underfoot,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10870,,,,,Windows,,,,
4/25/2012 10:36:07,C#,Unity,,Photoshop,BFXR,onionblitz,Stomp-A-Thump,http://bit.ly/I96Tbn,,,,Chronolapse,"Windows, Mac",,http://bit.ly/IfXyt2,,
4/25/2012 11:25:06,C#,Unity,RagePixel,RagePixel,BFXR,keely,Copulous,http://ragepixel.com/copulous,,Reaper,Unity,,Windows,,,,
4/25/2012 11:41:12,C#,Unity,,Paint .NET,"BFXR, Audactiy",recursor,Montezuma's Tomb,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1105,,Audacity,Unity,Chronolapse,Windows,,http://youtu.be/InoRUCTpXEk,,
4/25/2012 11:47:39,C#,Unity,,Photoshop,"BFXR, Audacity",Darkcoder,Shoot Dem Asteroids,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5470,,,Unity,Chronolapse,Windows,3D Studio Max,http://youtu.be/ZaFF3E4xUqw,http://www.ludumdare.com/compo/2012/04/25/postmortem-timelapse-2/,
4/25/2012 12:39:56,C#,Flat Red Ball,XNA,Photoshop,SFXR,lucars83,Space Jumper,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8896,,Circuli,,Chronolapse,Windows,,,,
4/25/2012 14:26:53,C#,XNA,RapidXNA,Photoshop,SFXR,edg3,Super Planet Crusher Extreme,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2864,,FL Studio,,Choronolapse,Windows,,,http://www.ludumdare.com/compo/2012/04/24/super-planet-crusher-extreme-ld23-post-mortem/,
4/25/2012 14:26:58,C#,XNA,Custom,GIMP,Audacity,VDZ,TinyIsland,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7284,,FL Studio,,,Windows,,,,
4/25/2012 14:48:01,C#,Unity,,Photoshop,Audacity,remi_b,gravity,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11804,,,,,Windows,3D Studio Max,,,
4/25/2012 15:00:36,C#,Unity,,"Gimp, Piq",,Digitalistic,Tiny's World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8740,,,Unity,,Windows,,,,
4/25/2012 15:01:15,C#,Custom,Custom,Photoshop,,wzl,Unterholz,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5751,,Renoise,Photoshop ;),,Windows,,,,
4/25/2012 15:04:17,C#,Unity,,"Gimp, paint.net",BFXR,samoojamies,Blob Blob TROUBLE!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11043,,,Unity,,Windows,Wings 3D,,http://www.ludumdare.com/compo/2012/04/22/finished-blob-blob-trouble/,
4/25/2012 15:04:34,C#,Custom,XNA,Paint.net,SFXR,Kharza,Ant Slayer,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5649,,EZMuze,Quake Army Knife,Chronolapse,Windows,3D Studio Max,http://youtu.be/GY8BGTK2NjU,http://www.ludumdare.com/compo/2012/04/23/ant-slayer-postmortem/,
4/25/2012 15:05:51,C#,,"XNA, Custom",Paint.net,sfxr,YSelfTool,Something Movable,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10854,,Minecraft Noteblock Editor,,,Windows,.xml-Files,,,
4/25/2012 15:09:05,C#,Unity,,Photoshop,Audacity,Zathalos,Nano-Clash,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11257,,FL Studio,Unity,,Windows,"3D Studio Max, Blender",,,
4/25/2012 15:09:17,C#,Unity,,Photoshop,audacity,eli,Aquarium Adventure,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1395,,Musagi,,,Windows,3d studio max,,,
4/25/2012 15:20:36,C#,Unity,,GraphicsGale,BFXR,JulianSpillane,Drill It!: Demolition Co.,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12162,,AutoTracker,Unity,,Windows,,,,
4/25/2012 15:27:59,C#,,XNA,"Photoshop CS6, Paint.net",SFXR,NNaouak,Fire Around,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8476,,,,,Windows,,,,
4/25/2012 15:35:39,C#,Unity,,Photoshop,Audacity,jrasmussen24,Redbeard the Borrower,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11788,,Garage Band,Unity,,Mac,Blender,,http://www.ludumdare.com/compo/2012/04/24/redbeard-the-borrower-postmortem/,
4/25/2012 15:46:32,C#,Unity,,"Gimp, Photoshop",SFXR,youdonotexist,Rubiq's Garden,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1170,,,Unity,,"Windows, Mac",,,,
4/25/2012 15:52:30,C#,Unity,Monodevelop,Gimp,Audacity,Catman,Walker,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11589,,Linux Multi Media Studio,,,Windows,Blender,,http://www.ludumdare.com/compo/2012/04/23/walker-the-postmortem/,
4/25/2012 15:55:25,C#,Unity,,Illustrator,BFXR,Cidolfas,This Planet Ain't Big Enough For The Both Of Us,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3135,,,Unity,,Mac,Softimage,,,
4/25/2012 15:57:43,c#,Unity,,,Adobe Audition,Birchmountain,Cylcubere Origins,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10933,,Garageband,Unity,,Mac,,,,
4/25/2012 16:05:23,C#,Unity,,,Audacity,robcozzens,Flight of the Ladybug,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10944,,"cgMusic, GarageBand",,,Mac,Blender,,,
4/25/2012 16:24:31,C#,Unity,,Photoshop,BFXR,Doktor Ace,Tiny Stomp,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4460,,,Unity,,Mac,Maya,,,
4/25/2012 16:40:31,C#,Microsoft Visual Studio C# 2010 Express,XNA,Photoshop,SFXR,ThatSnail,This Town (ABEFTTOU),http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3051,,FL Studio,,Chronolapse,Windows,,http://www.youtube.com/watch?v=dfrggnFVH1E,,
4/25/2012 16:45:02,C#,,XNA 4.0,Paint.net,Audacity,zkenshin,No Air Out Here,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12839,,,,,Windows,,,,
4/25/2012 16:56:17,C#,Unity,,Illustrator,,eventhandler,Five by Five,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11846,,,,,Windows,Maya,,,
4/25/2012 17:15:05,C#,Unity,,"Gimo, inkscape",Bfxr,Derosa,Poor Pluto's revenge,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5049,,Autotracker-bottomup,,,"Mac, Linux",,,http://www.ludumdare.com/compo/2012/04/23/my-first-ld-my-first-success/,
4/25/2012 22:44:03,C#,Unity,,Paint.net,SFXR,Zythiku,World Saver!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10786,,,Unity,Chronolapse,Windows,Blender,http://youtu.be/RauCjWA1H8o,,
4/26/2012 1:39:42,C#,Unity,,Paint.net,BFXR,Bloodyaugust,Planetoids,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=3773,,FL Studio,Unity,Chronolapse,Windows,,,,
4/26/2012 4:56:53,C#,Unity,,Paint.net,BFXR,Bezza,Tiny Tempers,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3428,,Randon generator,Unity,,Windows,3D Studio Max,,,
4/26/2012 5:03:49,C#,Custom,"XNA, Mercury particle lib, ","Photoshop, Paint.NET, MS Paint",Audacity,notepid,Tiny World - Tiny bits,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11504,,Garage Band,Tiled,Chronolapse,Windows,,,,
4/26/2012 5:08:53,C#,,XNA,GIMP,BFXR,vigrid,Bill in BSODia,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10441,,,GIMP :),Chronolapse,Windows,,http://www.youtube.com/playlist?list=PL8D8C434015F3EA08,http://www.ludumdare.com/compo/2012/04/25/bill-in-bsodia-post-mortem/,
4/26/2012 11:13:39,C#,Unity,,"Gimp, Inkscape",Wavosaur,Izzimach,Ethereal Idles,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11739,,,Unity,,Windows,Blender,,,
4/26/2012 12:03:38,C#,Unity,,Paint.net,"bfxr, audacity",tequibo,Short Life in a Box,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5180,,,Unity,Chronolapse,Windows,,http://www.youtube.com/watch?v=piheQOfeTKw,,
4/26/2012 12:13:26,C#,custom,XNA,Photoshop,Sony Vegas,icefallgames,Quantum Entanglement,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11319,,,,Chronolapse,Windows,,,,
4/26/2012 12:57:12,C#,Unity,iTween,Photoshop,SFXR,Codexus,Tiny Shogi 48,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=187,,Reason,,Chronolapse,Windows,Modo,,,
4/26/2012 13:19:46,C#,,XNA,Photoshop,BFXR,Hazard,Spaceship Planet Merge,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7512,,cgMusic,,"My own screen capturer, Chronolapse to stich it together",Windows,,http://www.youtube.com/watch?v=MU8jMqBkOy8,,
4/26/2012 13:22:25,C#,,XNA,Gimp,,Dialock,Sfrumz!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10833,,,Custom,,Windows,,,,
4/26/2012 13:22:49,C#,Unity,,Paint.net,SFXR,spooks,Peppyland,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5110,,,Unity,,Windows,,,,
4/26/2012 13:37:28,C#,Unity,,Gimp,SFXR,ilo,To What a Mountain?,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12377,,,Unity,,Windows,,,,
4/26/2012 14:05:48,c#,,xna,paint.net,,zoral,Tiny Castles,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11516,,,,chronolapse,Windows,,,,
4/26/2012 14:13:12,C#,Unity,Unity,Photoshop,SFXR,christinaNeofotistou,Kumiho,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=13139,,FL Studio,,,"Windows, Mac",,,http://www.ludumdare.com/compo/2012/04/24/first-post-and-post-mortem-of-kumiho/,
4/26/2012 14:21:09,C#,Unity3D,,Paint.net,Bfxr,lanoiadimuu,Space Mission Part 2,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7264,,,,chronolapse,"Windows, Mac",,http://www.youtube.com/watch?v=LuHL9f_1vUo,,
4/26/2012 16:15:43,C#,Custom,XNA,Paint.net,BFXR,Kitch,Mage Duel,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7470,,Otomata,Custom,Chronolapse,Windows,NA,Not done... yet,http://www.ludumdare.com/compo/2012/04/26/mage-duel-postmortem/,
4/26/2012 16:35:02,C#,Unity,,Paint.net,Bxfr,Ovno,Ant Farm Simulator,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10164,,Inudge,Unity,,Windows,,,,
4/26/2012 16:35:22,C#,Unity,,Photoshop,,ElzingaT,AquaWars,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10577,,,,Chronolapse,Windows,,http://youtu.be/vRduXqTZ3CA,http://www.ludumdare.com/compo/2012/04/23/ludum-dare-23-aqua-wars-post-mortem/,
4/26/2012 16:54:43,C#,Unity,,Gimp,Audacity,Beerman,Burger Defender,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5206,,Audiosauna,Unity,,Windows,Blender,,,
4/26/2012 17:30:57,C#,,"XNA, custom",Gimp,"SFXR, Otamata, Autotracker",Jeremias,No Space,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7211,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/no-space-post-mortem/,
4/26/2012 19:03:41,C#,Unity,,Paint.net,"SFXR, BFXR",HeuGamer,Block Bros,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10826,,,Unity,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/my-postmortem/,
4/26/2012 20:38:15,C#,,XNA,Paint.net,Audacity,Vilborg,Primordial Smackdown: Bacteria with Badditude,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4884,,Garage Band,,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/primordial-smackdown-bacteria-with-badditude/,
4/26/2012 20:56:23,C#,,XNA,PyxelEdit,Audacity,TheMightyComp,Shattered Universe ,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9992,,MilkyTracker,,Chronolapse,Windows,,http://www.youtube.com/watch?v=LNNO7lLTaKM,,
4/26/2012 21:23:48,c#,Unity,,Photoshop,,Shigor,Tiny Inspiration,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5242,,,Unity,,Windows,,,http://www.ludumdare.com/compo/2012/04/26/tiny-inspiration-postmortem/ ,
4/27/2012 11:53:40,C#,Unity,,"Gimp, Paint.net",,pragmascript_,Trees of Life,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3751,,,Unity,Chronolapse,Windows,Blender,http://www.youtube.com/watch?v=nLJ_-ZwU86w&feature=g-upl,,
4/27/2012 14:12:15,C#,,XNA,Paint.net,Cubase,Indyo,Tiny Squareheads,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11920,,Cubase,Paint.net,My own tool,Windows,,,,
4/27/2012 14:38:52,C#,Custom,XNA,"Photoshop, Paint.net, PyxelEdit",SFXR,Door,TinyGiant,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5720,,,Custom,,Windows,,,,
4/27/2012 15:50:48,C#,Unity,,Paint.net,SFXR,NukeTheBunnys,Bad Neibors,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12072,,Node Beat,Unity,,Windows,,,,
4/27/2012 15:54:36,C#,FlatRedBall,XNA,GIMP,bfxr,FireSlash,CubeWorld,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3130,,FL Studio,Tiled,,Windows,,,,
4/27/2012 17:05:35,C#,Custom,XNA,Paint.net,,Thief,SimHamlet,ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7041,,,Callidus' mapper,Chronolapse,Windows,,http://www.youtube.com/watch?v=fVNPiA3r21Y,http://www.ludumdare.com/compo/2012/04/23/simhamlet-post-mortem/,
4/28/2012 6:32:54,C#,,Unity,"Paint, GIMP",,Ivan,Crandell Stryder,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12415,,,Unity,,Windows,Blender,,,
4/28/2012 8:46:19,C#,Unity,,Photoshop,BXFR,Gremlin,The Sheep Are Sinking,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12047,,,Photoshop,,Windows,,,,
4/28/2012 11:35:24,C#,Unity,,"Photoshop, RagePixel","Audacity, Izotope Iris, Bfxr, Renoise",oddgoo,Lilac.27,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6590,,"Figure, Renoise",Unity,Chronolapse,Windows,Sculptris,http://www.youtube.com/watch?v=Q2dC9wuz-zI,http://www.ludumdare.com/compo/2012/04/28/lilac-27-post-mortem/,
4/28/2012 12:04:19,C#,Unity,Orthello,Inkscape,BFXR,cmo7,I Should Clean My Keyboard,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11052,,cgMusic,Unity,Chronolapse,Windows,Blender,http://www.youtube.com/watch?v=I1j2qMUM6JM,,
4/28/2012 16:25:01,C#,Custom,Silverlight,"Paint.net, GraphicsGale","SFXR, Audacity",guzzungo,MyLittleWorld,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6652,,"MilkyTracker, Wolfram.Tones",,,Windows,,,,
4/30/2012 9:13:26,C#,,XNA,Inkscape,"SFXR, Audacity",Jeffalisk,Disastronaut,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11298,,"Audio Recorder (WP7 app), Audacity - performed music live, recorded as .wav & converted to .mp3",,,Windows,,,,
4/30/2012 10:56:51,C#,Unity,,Paint.net,,Zerot,Grow,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12098,,Autotracker,Unity,Chronolapse,Windows,Blender,http://www.youtube.com/watch?v=g7kWdo3dUpc&feature=g-upl,,
4/30/2012 11:51:14,C#,Unity,Custom,Pixen,CFXR,FredericRP,Where It Begins,http://www.equilibregames.com/ld23/,,Garage Band,Unity,,Mac,,,(not yet),
5/1/2012 14:22:47,C#,Unity,,Photoshop Elements 9,BFXR,ratking,Wunderworld,www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=3663,,,,,Windows,3D Studio Max,http://www.ludumdare.com/compo/2012/05/01/wunderworld-post-mortem/,http://www.ludumdare.com/compo/2012/05/01/wunderworld-post-mortem/,
5/2/2012 4:41:49,C#,Unity,,Photoshop,Audacity,hadesfury,Balance,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10263,,,,,Web,3D Studio Max,,,
5/2/2012 14:14:52,C#,Unity,,Photoshop,BFXR,Darkfrost,Super Fun Crushy Time,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7085,,Famitracker,Unity,Chronolapse,Windows,Wings3D,http://www.youtube.com/watch?v=Vbwu-hyKU_E ,,
5/3/2012 0:55:14,C#,Unity,,Photoshop,Ableton Live,Christian S.,On Aother Scale,http://www.reduktion.ch/onanotherscale/,,Ableton Live,Unity,,Mac,Blender,,http://www.reduktion.ch/onanotherscale/,
5/3/2012 9:02:23,C#,Unity,,Photoshop,,quickfingers,Obsolescence,www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3963,,Cubase 6,Unity,,Mac,Modo,,,
4/29/2012 8:54:09,C# ,,XNA,Pro Motion,"Bfxr, audacity.",bitslap_,Tiny Castles,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11516,,milkytracker,,Chronolapse,Windows,,https://vimeo.com/41181941,,
4/29/2012 14:45:51,c# ,,silverlight,paint.net,,codheadz,,,,,,,Windows,,,,
4/25/2012 13:42:17,C# in Unity 3D.,Unity,,"Gimp, Inkscape",,aaronflippo,Ant Command,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12401,,,Unity,,Mac,Blender,,http://www.ludumdare.com/compo/2012/04/23/wow-this-was-a-blast/,
4/26/2012 17:11:53,"C#, Cg",Unity,,Photoshop,"LMMS, Audacity",Siewart,A Perfect Purpose,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10724,,LMMS,Unity,Chronolapse,Windows,Blender,http://vimeo.com/40840311,,
4/26/2012 13:40:44,"C#, JavaScript",Unity,,Paint.net,,villhest,Puny World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12294,,,Unity,,Windows,Blender,,,
4/27/2012 12:28:54,"C#, JavaScript",Unity,,MS Paint,,ToxicFishGames,Aegaeon,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5235,,,Unity,,"Windows, Mac, Unity Webplayer",,,,
4/25/2012 15:57:28,"C#, Mono",Unity,,Pixelator,CFXR,fatSquirrel,ant run,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10782,,Garage Band,Unity,,Mac,,,http://www.ludumdare.com/compo/2012/04/22/the-first-of-many/,
4/24/2012 11:58:18,C++,,,"gimp,sprite editor",SFXR,Raptor85,Tiny Defenders,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7131,,"autotracker-bu, audacity,schismtracker ",,Custom BASH script,Linux,,,,
4/24/2012 13:23:48,C++,Personal Engine,,GIMP,,AlwaysGeeky,When Worlds Collide,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11531,,,,,Windows,,,,
4/24/2012 16:43:46,C++,,SFML,paint.net,SFXR,pighead10,Pixel Progression,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=8539,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=gDWYMco7GQo,,
4/24/2012 16:44:03,C++,HGE,,Gimp,"Audacity, Ableton Live",BenW,In The Beginning,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=128,,Ableton Live,,Chronolapse,Windows,,http://www.youtube.com/watch?feature=player_embedded&v=f3ZFnHABTFA,,
4/24/2012 16:46:22,C++,,SFML2,Gimp,,Fififox,Tiny Maze,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3098,,LMMS,Custom,Custom,Linux,,http://www.youtube.com/watch?v=EE-UxWvY740,http://www.ludumdare.com/compo/2012/04/23/tiny-maze-postmortem-timelapse/,
4/25/2012 15:07:25,C++,Custom,SFML,GIMP,BFXR,spacechase0,Farming Simulator,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10574,,,,,"Windows, Mac",,,,
4/25/2012 15:10:40,C++,custom,custom,photoshop,my voice,crackerblocks,BEEFWAR,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=505,,,,,Windows,,,,
4/25/2012 15:12:31,C++,,SFML,Gimp,BFXR,Ace,Tiny Hack/,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10247,,,,,Windows,Blender,,http://www.ludumdare.com/compo/2012/04/25/tiny-hack-post-mortem/,
4/25/2012 15:19:03,C++,HGE,Custom,Pickle,Microphone,Tomalla,Petri,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10765,,Yamaha PSR-1500,,,Windows,,,,
